chambers,treatment,species,phenology,rootmass,leafmass,leafarea,stemmass,totalmass,leafarearatio,leafmassratio,rootshootratio
2,2,DMH,1,42.601,64.22,9969.672054,57.808,164.629,60.55841956,0.390089231,0.663360324
2,2,SQS,2,56.37,30.672,10278.92773,88.773,175.815,58.46445259,0.174456104,1.837832551
2,2,SQS,2,36.533,38.049,10900.77372,57.889,132.471,82.28800052,0.287225129,0.96015664
2,2,SQS,2,52.03,26.488,9538.985037,54.245,132.763,71.84972498,0.199513419,1.964285714
2,2,SQS,2,46.994,39.623,16164.11183,68.111,154.728,104.4679168,0.25608164,1.186028317
2,2,HDG,2,45.804,27.565,10088.05719,111.102,184.471,54.68641243,0.149427281,1.661672411
2,2,HDG,2,65.912,52.816,13269.57319,93.812,212.54,62.43329816,0.248499106,1.247955165
2,2,HDG,2,76.226,56.022,16260.27211,142.125,274.373,59.26338272,0.204181898,1.360644033
2,2,HDG,2,74.718,52.468,12729.5517,118.469,245.655,51.81881787,0.213584092,1.424068003
2,2,DSY,2,79.535,75.08466667,12871.32418,119.733,274.3526667,46.91525087,0.273679376,1.059270868
2,2,DSY,2,51.877,50.627,8678.689782,98.404,200.908,43.19733302,0.251990961,1.024690383
2,2,DSY,2,47.466,67.652,10535.81075,114.414,229.532,45.90127193,0.29473886,0.701620056
2,2,DSY,2,53.561,60.503,11320.89069,99.823,213.887,52.92930701,0.282873667,0.885261888
2,2,QLQ,2,57.31,24.978,3006.370539,99.843,157.153,19.13021412,0.15894065,2.294419089
2,2,QLQ,2,53.937,33.301,5224.067089,110.32,164.257,31.80422806,0.202737174,1.619681091
2,2,QLQ,2,47.692,35.592,7004.218386,110.34,158.032,44.3215196,0.225220209,1.339964037
2,2,QLQ,2,45.098,35.38214457,5590.695513,118.0431446,163.1411446,34.26907129,0.216880571,1.274597697
3,2,NYPP,1,21.617,34.462,2996.631736,38.19,94.269,31.78809296,0.365570866,0.627270617
3,2,NYPP,1,18.155,49.646,4040.592576,59.321,127.122,31.78515581,0.390538223,0.365689079
3,2,NYPP,1,27.266,49.51,4348.353949,52.49,129.266,33.63880641,0.38300868,0.550717027
3,2,NYPP,1,35.319,46.588,8512.262648,87.56,169.467,50.22961785,0.274908979,0.758113677
3,2,HXS,1,29.984,41.509,4786.954625,30.208,101.701,47.06890419,0.408147413,0.72234937
3,2,HXS,1,38.948,32.651,4799.920052,24.923,96.522,49.72876704,0.338275212,1.192857799
3,2,HXS,1,33.607,30.537,2996.957231,22.372,86.516,34.64049692,0.352963614,1.100533779
3,2,HXS,1,30.236,28.398,2863.120896,20.858,79.492,36.01772374,0.357243496,1.064722868
3,2,JDSL,1,29.876,43.844,6167.753389,35.581,109.301,56.42906643,0.401130822,0.681415929
3,2,JDSL,1,23.438,39.746,5042.565534,28.626,91.81,54.92392477,0.432915804,0.58969456
3,2,JDSL,1,26.667,38.294,5034.835631,36.321,101.282,49.71106052,0.37809285,0.696375411
3,2,JDSL,1,22.437,47.77,6769.037145,39.946,110.153,61.45122825,0.433669532,0.469688089
3,2,DMH,1,38.576,36.271,5186.09183,40.017,114.864,45.1498453,0.315773436,1.063549392
3,2,DMH,1,32.375,67.868,12026.81799,54.701,154.944,77.62041761,0.438016316,0.477028939
3,2,DMH,1,54.048,53.176,8296.257419,59.325,166.549,49.81271229,0.319281413,1.016398375
3,2,DMH,1,24.691,45.422,7010.20714,47.438,117.551,59.63545303,0.386402498,0.543591211
3,2,SQS,2,51.445,21.772,7037.867473,73.456,146.673,47.98338803,0.148439045,2.362897299
3,2,SQS,2,43.304,29.126,10583.64437,57.116,129.546,81.69796344,0.224831334,1.48678157
3,2,SQS,2,45.266,41.929,14760.63303,63.89,151.085,97.69754132,0.277519277,1.079586921
3,2,SQS,2,36.229,12.711,5115.343688,51.787,100.727,50.78423549,0.12619258,2.850208481
3,2,HDG,2,102.109,50.71,14196.6108,157.859,310.678,45.69557807,0.163223659,2.013587064
3,2,HDG,2,92.651,36.21,10162.88456,139.6,268.461,37.8560929,0.134879927,2.558713063
3,2,HDG,2,70.011,50.367,14759.2029,129.773,250.151,59.0011749,0.201346387,1.390017273
3,2,HDG,2,71.715,60.506,17440.03446,109.217,241.438,72.23400813,0.250606781,1.185254355
3,2,DSY,2,47.219,69,16637.01449,138.968,255.187,65.19538414,0.270389949,0.684333333
3,2,DSY,2,58.56,62.485,17775.78077,146.537,267.582,66.43115296,0.233517202,0.937184924
3,2,DSY,2,73.343,73.771,19431.99035,148.738,295.852,65.68145677,0.249351027,0.994198262
3,2,DSY,2,51.36,49.691,17338.01184,91.828,192.879,89.89061452,0.257627839,1.033587571
3,2,QLQ,2,59.511,45.816,6950.420144,129.484,188.995,36.77568266,0.242419112,1.298913043
3,2,QLQ,2,33.983,23.368,4142.004308,89.2,123.183,33.62480463,0.189701501,1.45425368
3,2,QLQ,2,51.043,38.931,5983.744744,118.741,169.784,35.24327819,0.229297225,1.311114536
3,2,QLQ,2,81.264,52.865,8409.144527,156.574,237.838,35.35660629,0.222273144,1.537198525
4,1,NYPP,1,27.308,44.1,3816.267719,80.395,151.803,25.13960672,0.290508093,0.619229025
4,1,NYPP,1,31.932,35.247,2894.874841,67.573,134.752,21.48298238,0.261569402,0.905949443
4,1,NYPP,1,33.998,41.42,5784.402862,48.759,124.177,46.58191825,0.333556134,0.820811202
4,1,NYPP,1,20.267,36.976,4266.923853,37.56,94.803,45.00832097,0.390029851,0.548112289
4,1,HXS,1,23.566,20.022,4919.919661,11.854,55.442,88.73993833,0.361134158,1.177005294
4,1,HXS,1,14.066,17.001,3326.160909,12.501,43.568,76.34412663,0.390217591,0.827363096
4,1,HXS,1,12.618,13.944,2174.848,12.27,38.832,56.0065925,0.35908529,0.904905336
4,1,HXS,1,18.78,10.789,2148.23687,14.656,44.225,48.57516948,0.243957038,1.740661785
4,1,JDSL,1,36.809,35.444,5340.722208,26.622,98.875,54.01488959,0.358472819,1.038511455
4,1,JDSL,1,22.854,42.967,6773.171404,24.105,89.926,75.31938932,0.477803972,0.531896572
4,1,JDSL,1,21.569,29.168,3871.565418,23.607,74.344,52.07636686,0.392338319,0.739474767
4,1,JDSL,1,22.882,27.843,3605.896335,33.619,84.344,42.75225665,0.330112397,0.821822361
4,1,DMH,1,24.425,34.329,6171.775589,39.907,98.661,62.55537233,0.347949038,0.711497568
4,1,DMH,1,20.797,31.487,4637.054501,41.504,93.788,49.44187423,0.335725253,0.660494807
4,1,DMH,1,21.826,38.223,5952.894485,49.612,109.661,54.28451761,0.348556004,0.57101745
4,1,DMH,1,21.567,33.236,5167.045863,22.171,76.974,67.12715804,0.43178216,0.648904802
4,1,SQS,2,23.496,12.889,5221.293241,37.603,73.988,70.56946046,0.174203925,1.822949802
4,1,SQS,2,33.786,27.271,12256.58078,48.746,109.803,111.6233689,0.248362977,1.238898464
4,1,SQS,2,32.496,24.804,8849.221591,60.4,117.7,75.18455047,0.210739167,1.310111272
4,1,SQS,2,30.96,18.397,7463.408657,47.538,96.895,77.02573566,0.189865318,1.682883079
4,1,HDG,2,60.13,29.808,8301.800938,107.246,197.184,42.10179801,0.151168452,2.017243693
4,1,HDG,2,53.106,41.451,12867.50537,80.081,174.638,73.68101655,0.237353841,1.281175364
4,1,HDG,2,42.334,15.952,4639.200406,77.889,136.175,34.06793028,0.117143382,2.65383651
4,1,HDG,2,38.816,29.762,10005.79021,78.582,147.16,67.9925945,0.202242457,1.304213427
4,1,DSY,2,40.467,47.42,15438.72104,79.811,167.698,92.06264258,0.282770218,0.853374104
4,1,DSY,2,40.769,42.672,12372.81415,113.189,196.63,62.92434597,0.217016732,0.955404012
4,1,DSY,2,40.918,42.417,10787.87888,99.8,183.135,58.90670205,0.231616021,0.964660396
4,1,DSY,2,32.66,40.77109529,11821.64381,84.224,157.6550953,74.98421658,0.258609436,0.801057704
4,1,QLQ,2,52.062,41.229,8203.762141,104.639,156.701,52.3529661,0.26310617,1.262751946
4,1,QLQ,2,27.734,21.885,4025.695863,66.171,93.905,42.86987768,0.233054683,1.267260681
4,1,QLQ,2,39.357,31.323,4759.77132,87.909,127.266,37.4001801,0.246122295,1.256488842
4,1,QLQ,2,58.843,30.23,5362.792936,89.034,147.877,36.26522675,0.204426652,1.946510089
